id_venta,fecha,ciudad,plataforma,genero,precio,cantidad
1,2024-05-26,Barranquilla,PC,Aventura,90000,4
2,2024-04-28,Bucaramanga,PlayStation,Accion,160000,3
3,2024-05-13,Bogota,PlayStation,Shooter,160000,3
4,2024-04-02,Medellin,Nintendo,Estrategia,90000,4
5,2024-04-17,Barranquilla,PlayStation,Shooter,130000,3
6,2024-03-18,Barranquilla,PlayStation,Estrategia,140000,2
7,2024-06-06,Cartagena,PC,Aventura,150000,1
8,2024-02-04,Cartagena,Nintendo,Aventura,120000,3
9,2024-03-21,Barranquilla,Xbox,Accion,170000,4
10,2024-06-16,Cartagena,PlayStation,Aventura,180000,3
11,2024-04-15,Bogota,Xbox,RPG,120000,1
12,2024-06-04,Medellin,Xbox,Deportes,100000,1
13,2024-04-05,Bogota,PC,Estrategia,180000,2
14,2024-02-12,Barranquilla,Xbox,Estrategia,120000,3
15,2024-03-03,Cartagena,PlayStation,Accion,130000,2
16,2024-03-09,Medellin,PlayStation,Aventura,160000,3
17,2024-05-02,Barranquilla,PlayStation,Accion,140000,3
18,2024-05-19,Cali,PlayStation,Accion,90000,3
19,2024-03-08,Cartagena,PlayStation,Estrategia,160000,4
20,2024-05-06,Cartagena,Xbox,Deportes,120000,3
21,2024-05-07,Barranquilla,Xbox,Estrategia,100000,2
22,2024-02-04,Cartagena,Xbox,Estrategia,150000,3
23,2024-06-28,Bogota,Xbox,Accion,110000,4
24,2024-01-01,Bogota,Nintendo,Accion,160000,1
25,2024-02-08,Barranquilla,PlayStation,Estrategia,100000,4
26,2024-04-21,Cali,Nintendo,Shooter,170000,4
27,2024-04-27,Bucaramanga,PlayStation,Shooter,150000,3
28,2024-03-01,Bucaramanga,PlayStation,Shooter,140000,1
29,2024-05-30,Bogota,PC,RPG,180000,4
30,2024-04-21,Bogota,PC,Deportes,120000,3
31,2024-05-20,Medellin,Xbox,Aventura,100000,3
32,2024-04-02,Medellin,Nintendo,Aventura,180000,4
33,2024-01-21,Barranquilla,PlayStation,Accion,180000,2
34,2024-06-24,Bucaramanga,Xbox,Estrategia,130000,4
35,2024-06-19,Cali,Nintendo,Accion,170000,2
36,2024-06-09,Barranquilla,Xbox,Estrategia,90000,2
